Package,Repository,Contributors,Commits,CC (avg),Cpp LoC
joint_trajectory_generator,pr2_common_actions,4,190,4.1,272
pr2_controller_manager,pr2_mechanism,12,292,6.27027027027,1371
pr2_navigation_perception,pr2_navigation,7,194,5.0,63
ethercat_trigger_controllers,pr2_controllers,3,328,4.47058823529,471
laser_tilt_controller_filter,pr2_navigation,7,194,6.4,106
pr2_arm_kinematics,pr2_kinematics,2,66,5.41666666667,1962
pr2_power_board,pr2_power_drivers,1,214,5.79365079365,1946
ocean_battery_driver,pr2_power_drivers,1,214,8.12903225806,1343
app_manager,app_manager,4,16,1.0,487
power_monitor,pr2_power_drivers,1,214,2.775,619
single_joint_position_action,pr2_controllers,3,328,2.83333333333,155
pr2_ethercat,pr2_robot,11,379,2.2,130
pr2_arm_move_ik,pr2_common_actions,4,190,3.88235294118,538
pr2_computer_monitor,pr2_robot,11,379,5.33333333333,71
pr2_hardware_interface,pr2_mechanism,12,292,1.5,303
semantic_point_annotator,pr2_navigation,7,194,2.6,715
pr2_mechanism_diagnostics,pr2_mechanism,12,292,3.125,207
pr2_run_stop_auto_restart,pr2_robot,11,379,4.0,36
joint_trajectory_action,pr2_controllers,3,328,6.85714285714,241
pr2_teleop,pr2_apps,6,250,9.625,450
pr2_teleop_general,pr2_apps,6,250,11.5102040816,2609
pr2_gripper_sensor_action,pr2_gripper_sensor,6,39,2.26153846154,1384
pr2_gripper_action,pr2_controllers,3,328,3.4,162
pr2_head_action,pr2_controllers,3,328,8.83333333333,367
pr2_calibration_controllers,pr2_controllers,3,328,37.1428571429,1172
robot_mechanism_controllers,pr2_controllers,3,328,18.0833333333,2624
ethercat_hardware,pr2_ethercat_drivers,7,341,6.01226993865,6017
pr2_mechanism_controllers,pr2_controllers,3,328,7.25714285714,3373
pr2_navigation_self_filter,pr2_navigation,7,194,4.72151898734,2254
pr2_gripper_sensor_controller,pr2_gripper_sensor,6,39,4.89189189189,1098
pr2_tilt_laser_interface,pr2_common_actions,4,190,2.77777777778,220
orocos_kdl,orocos_kinematics_dynamics,22,494,2.78833693305,11072
pr2_mechanism_model,pr2_mechanism,12,292,5.34782608696,2607
