Package,Repository,Contributors,Commits,CC (avg),Cpp LoC,Cpp LoCom
turtlebot_teleop,turtlebot,26,1085,3.0,65,28
pano_py,turtlebot_apps,25,768,3.94444444444,525,43
pano_core,turtlebot_apps,25,768,3.06349206349,4893,785
turtlebot_follower,turtlebot_apps,25,768,9.5,194,72
turtlebot_navigation,turtlebot_apps,25,768,3.5,59,35
turtlebot_panorama,turtlebot_apps,25,768,4.0,417,224
turtlebot_actions,turtlebot_apps,25,768,5.77777777778,385,101
turtlebot_arm_ikfast_plugin,turtlebot_arm,6,179,14.5454545455,5289,319
turtlebot_arm_block_manipulation,turtlebot_arm,6,179,4.07692307692,1018,299
turtlebot_arm_kinect_calibration,turtlebot_arm,6,179,2.72727272727,382,110
